dataset,arch,class,n_src,n_tgt,q_src,SHC_coverage,undercoverage,median_score_shift,q90_score_shift,score_KS
cicids2017:R1_holdout_Slowhttptest,rf,Benign,22957,153053,0.5,0.9999,-0.0499,0.0,0.0,0.0003
cicids2017:R1_holdout_Slowhttptest,rf,DoS,25502,1741,0.5,0.7835,0.1665,0.0,0.3957,0.2165
cicids2017:R1_holdout_Slowhttptest,xgb,Benign,22957,153053,0.5,0.9999,-0.0499,0.0,0.0,0.001
cicids2017:R1_holdout_Slowhttptest,xgb,DoS,25502,1741,0.5,0.9701,-0.0201,-0.0001,-0.0001,0.7179
cicids2017:R1_holdout_Slowhttptest,mlp,Benign,22957,153053,0.5,0.9998,-0.0498,0.0,0.0,0.0043
cicids2017:R1_holdout_Slowhttptest,mlp,DoS,25502,1741,0.5,0.6324,0.3176,0.0,0.4167,0.6006
cicids2017:R2_holdout_Slowloris,rf,Benign,22957,153053,0.5,0.9998,-0.0498,0.0,0.0,0.0002
cicids2017:R2_holdout_Slowloris,rf,DoS,25163,3998,0.5,0.4557,0.4943,0.5,0.5,0.5442
cicids2017:R2_holdout_Slowloris,xgb,Benign,22957,153053,0.5,0.9999,-0.0499,0.0,0.0,0.0001
cicids2017:R2_holdout_Slowloris,xgb,DoS,25163,3998,0.5,0.5673,0.3827,-0.0001,0.5,0.4326
cicids2017:R2_holdout_Slowloris,mlp,Benign,22957,153053,0.5,0.9998,-0.0498,0.0,0.0,0.0011
cicids2017:R2_holdout_Slowloris,mlp,DoS,25163,3998,0.5,0.524,0.426,-0.0,0.5,0.4758
cicids2017:R3_holdout_GoldenEye,rf,Benign,22957,153053,0.5,0.9999,-0.0499,0.0,0.0,0.0001
cicids2017:R3_holdout_GoldenEye,rf,DoS,24628,7567,0.5,0.7231,0.2269,0.0,0.5,0.2784
cicids2017:R3_holdout_GoldenEye,xgb,Benign,22957,153053,0.5,0.9999,-0.0499,0.0,0.0,0.0001
cicids2017:R3_holdout_GoldenEye,xgb,DoS,24628,7567,0.5,0.7575,0.1925,0.0,0.4721,0.2425
cicids2017:R3_holdout_GoldenEye,mlp,Benign,22957,153053,0.5,0.9999,-0.0499,0.0,0.0,0.0005
cicids2017:R3_holdout_GoldenEye,mlp,DoS,24628,7567,0.5,0.686,0.264,-0.0004,0.4414,0.5358
cicids2017:R4_holdout_Slowloris_Slowhttptest,rf,Benign,22957,153053,0.5,0.9999,-0.0499,0.0,0.0,0.0001
cicids2017:R4_holdout_Slowloris_Slowhttptest,rf,DoS,24902,5739,0.5,0.1908,0.7592,0.5,0.5,0.8092
cicids2017:R4_holdout_Slowloris_Slowhttptest,xgb,Benign,22957,153053,0.5,0.9999,-0.0499,0.0,0.0,0.0
cicids2017:R4_holdout_Slowloris_Slowhttptest,xgb,DoS,24902,5739,0.5,0.0404,0.9096,0.5,0.5,0.9595
cicids2017:R4_holdout_Slowloris_Slowhttptest,mlp,Benign,22957,153053,0.5,0.9998,-0.0498,0.0,0.0,0.0001
cicids2017:R4_holdout_Slowloris_Slowhttptest,mlp,DoS,24902,5739,0.5,0.3492,0.6008,0.5,0.5,0.6508
cicids2017:R5_holdout_GoldenEye_Slowloris,rf,Benign,22957,153053,0.5,0.9999,-0.0499,0.0,0.0,0.0001
cicids2017:R5_holdout_GoldenEye_Slowloris,rf,DoS,24028,11565,0.5,0.4555,0.4945,0.3228,0.5,0.5444
cicids2017:R5_holdout_GoldenEye_Slowloris,xgb,Benign,22957,153053,0.5,0.9999,-0.0499,0.0,0.0,0.0001
cicids2017:R5_holdout_GoldenEye_Slowloris,xgb,DoS,24028,11565,0.5,0.6545,0.2955,0.0,0.5,0.3454
cicids2017:R5_holdout_GoldenEye_Slowloris,mlp,Benign,22957,153053,0.5,0.9998,-0.0498,0.0,0.0,0.0002
cicids2017:R5_holdout_GoldenEye_Slowloris,mlp,DoS,24028,11565,0.5,0.615,0.335,0.0,0.5,0.3849
ugr16:july_to_august,rf,background,30000,200000,0.5,0.9973,-0.0473,0.0,0.0,0.0586
ugr16:july_to_august,rf,dos,7500,50000,0.5,1.0,-0.05,0.0,0.0,0.0062
ugr16:july_to_august,rf,nerisbotnet,7500,50000,0.5,0.9891,-0.0391,-0.0027,0.0,0.0892
ugr16:july_to_august,rf,scan11,7500,50000,0.5,0.3916,0.5584,0.4997,0.4998,0.6056
ugr16:july_to_august,rf,scan44,7500,50000,0.5,0.7368,0.2132,-0.0,0.4999,0.2604
ugr16:july_to_august,xgb,background,30000,200000,0.5,0.9971,-0.0471,0.0,0.0,0.0087
ugr16:july_to_august,xgb,dos,7500,50000,0.5,1.0,-0.05,0.0,0.0,0.0042
ugr16:july_to_august,xgb,nerisbotnet,7500,50000,0.5,0.9899,-0.0399,-0.0042,0.0,0.0769
ugr16:july_to_august,xgb,scan11,7500,50000,0.5,0.4301,0.5199,0.4995,0.4999,0.5587
ugr16:july_to_august,xgb,scan44,7500,50000,0.8318,0.8211,0.1289,0.0,0.2435,0.1738
ugr16:july_to_august,mlp,background,30000,200000,0.5,0.9651,-0.0151,0.0002,0.0,0.0924
ugr16:july_to_august,mlp,dos,7500,50000,0.5,1.0,-0.05,0.0,0.0,0.0131
ugr16:july_to_august,mlp,nerisbotnet,7500,50000,0.8739,0.9396,0.0104,0.0009,0.0003,0.1104
ugr16:july_to_august,mlp,scan11,7500,50000,0.7863,0.5573,0.3927,0.329,0.0979,0.3976
ugr16:july_to_august,mlp,scan44,7500,50000,0.8405,0.8071,0.1429,-0.0023,0.0811,0.1636
nslkdd:rung0.8,rf,Normal,10101,8649,0.5,0.9714,-0.0214,0.0,0.0,0.0322
nslkdd:rung0.8,rf,DoS,6889,4098,0.5,0.5878,0.3622,0.0,0.5,0.4117
nslkdd:rung0.8,rf,Probe,1748,1890,0.5,0.654,0.296,0.0,0.4948,0.3443
nslkdd:rung0.8,rf,R2L,149,1618,0.9433,0.0562,0.8938,0.4993,0.5,0.9152
nslkdd:rung0.8,rf,U2R,7,46,0.9775,0.6522,0.2978,0.4462,0.0738,0.7484
nslkdd:rung0.8,xgb,Normal,10101,8649,0.5,0.9699,-0.0199,0.0,0.0,0.0385
nslkdd:rung0.8,xgb,DoS,6889,4098,0.5,0.6528,0.2972,0.0,0.5,0.3465
nslkdd:rung0.8,xgb,Probe,1748,1890,0.5,0.6503,0.2997,0.0,0.5,0.3486
nslkdd:rung0.8,xgb,R2L,149,1618,0.5,0.047,0.903,0.4995,0.5,0.9396
nslkdd:rung0.8,xgb,U2R,7,46,0.9737,0.4348,0.5152,0.476,0.0311,0.5652
nslkdd:rung0.8,mlp,Normal,10101,8649,0.5,0.9769,-0.0269,0.0,0.0,0.1231
