dataset,arch,class,n_pred_target,low_support,drift_labelfree,pred_mass_drop,drift_truelabel,misroute_target,SHC_coverage,undercoverage
cicids2017:R1_holdout_Slowhttptest,rf,Benign,153413,False,0.0023,-0.5174,0.0003,0.0001,0.9999,-0.0499
cicids2017:R1_holdout_Slowhttptest,rf,DoS,1381,False,0.0665,0.5174,0.2165,0.2165,0.7835,0.1665
cicids2017:R1_holdout_Slowhttptest,xgb,Benign,153090,False,0.0007,-0.5153,0.001,0.0001,0.9999,-0.0499
cicids2017:R1_holdout_Slowhttptest,xgb,DoS,1704,False,0.7436,0.5153,0.7179,0.0299,0.9701,-0.0201
cicids2017:R1_holdout_Slowhttptest,mlp,Benign,153508,False,0.0034,-0.518,0.0043,0.0002,0.9998,-0.0498
cicids2017:R1_holdout_Slowhttptest,mlp,DoS,1286,False,0.5422,0.518,0.6006,0.2757,0.6324,0.3176
cicids2017:R2_holdout_Slowloris,rf,Benign,155204,False,0.0004,-0.5112,0.0002,0.0002,0.9998,-0.0498
cicids2017:R2_holdout_Slowloris,rf,DoS,1847,False,0.0463,0.5112,0.5442,0.5443,0.4557,0.4943
cicids2017:R2_holdout_Slowloris,xgb,Benign,154766,False,0.0002,-0.5084,0.0001,0.0001,0.9999,-0.0499
cicids2017:R2_holdout_Slowloris,xgb,DoS,2285,False,0.7755,0.5084,0.4326,0.4327,0.5673,0.3827
cicids2017:R2_holdout_Slowloris,mlp,Benign,154933,False,0.0014,-0.5094,0.0011,0.0002,0.9998,-0.0498
cicids2017:R2_holdout_Slowloris,mlp,DoS,2118,False,0.7435,0.5094,0.4758,0.476,0.524,0.426
cicids2017:R3_holdout_GoldenEye,rf,Benign,155131,False,0.0013,-0.4834,0.0001,0.0001,0.9999,-0.0499
cicids2017:R3_holdout_GoldenEye,rf,DoS,5489,False,0.3847,0.4834,0.2784,0.2769,0.7231,0.2269
cicids2017:R3_holdout_GoldenEye,xgb,Benign,154876,False,0.0109,-0.4818,0.0001,0.0001,0.9999,-0.0499
cicids2017:R3_holdout_GoldenEye,xgb,DoS,5744,False,0.0723,0.4818,0.2425,0.2425,0.7575,0.1925
cicids2017:R3_holdout_GoldenEye,mlp,Benign,155378,False,0.0139,-0.4849,0.0005,0.0001,0.9999,-0.0499
cicids2017:R3_holdout_GoldenEye,mlp,DoS,5242,False,0.7775,0.4849,0.5358,0.3099,0.686,0.264
